,data1,configur,anomaly1,spikes
2023-01-01 00:00:00,0.2634620301019637,0,0.2,0
2023-01-01 00:01:00,0.8276152581824777,0,0.3,1
2023-01-01 00:02:00,0.38194076285738,0,0.2,0
2023-01-01 00:03:00,0.32719310422063974,0,0.1,0
2023-01-01 00:04:00,0.8376983028269125,0,0.2,0
2023-01-01 00:05:00,0.2098591143795786,0,0.2,0
2023-01-01 00:06:00,0.3828372885308038,0,0.1,0
2023-01-01 00:07:00,0.5432810520439707,0,0.4,0
2023-01-01 00:08:00,0.788051293339473,1,0.8,0
2023-01-01 00:09:00,0.7068575805937469,0,0.7,0
2023-01-01 00:10:00,0.16442164140079407,0,0.7,0
2023-01-01 00:11:00,0.8033116836451302,0,0.8,0
2023-01-01 00:12:00,0.07700754272165011,0,0.7,0
2023-01-01 00:13:00,0.6272876633834659,0,0.8,1
2023-01-01 00:14:00,0.2950584460622103,0,1.0,0
2023-01-01 00:15:00,0.34433382051264516,0,0.6,0
2023-01-01 00:16:00,0.0021832704363332622,0,0.7,0
